"","Tmem119","Gabbr1","Gabbr2","Cd164","Clec4a3","Ecscr","Fcrls","Gpr34","Laptm4a","Laptm5","P2ry12","P2ry13","Ppib","Selenok","Selenop","Tmem14c","Trem2","Tspan3","Tspan4","Tspan7","cell.size","zdepth","C1qc","Tmsb4x","Rps29","Ftl1","mt_Nd2","mt_Co3","info","genotype"
"1",16,0,0,3,0,4,4,5,4,25,15,6,1,0,5,0,1,0,0,1,1132,2,0,0,0,0,114048,727842,"control1_slice1_side1","ctr"
"2",19,1,1,4,1,1,7,4,15,26,14,4,0,1,24,4,5,5,3,0,1253,3,0,0,0,0,248539,770391,"control1_slice1_side1","ctr"
"3",21,3,0,1,0,4,19,6,7,31,21,10,0,0,21,0,3,1,1,0,1345,4,10,7,7,3,121769,584524,"control1_slice1_side1","ctr"
"4",82,4,1,6,1,9,53,10,15,85,54,13,0,1,36,3,11,4,2,1,3873,7,42,28,23,21,518560,2028252,"control1_slice1_side1","ctr"
"5",11,7,5,5,0,2,6,3,8,10,18,4,1,7,7,4,0,15,1,0,1200,2,15,10,14,16,451248,2113695,"control1_slice1_side1","ctr"
"6",53,7,7,7,1,5,18,6,11,52,33,13,1,2,30,4,2,7,1,0,3345,7,29,21,25,28,662854,2890522,"control1_slice1_side1","ctr"
"7",33,11,6,4,1,7,18,7,8,56,31,13,0,0,43,3,3,5,1,0,2161,6,24,20,10,17,405706,1737669,"control1_slice1_side1","ctr"
"8",32,2,1,4,1,1,11,4,8,35,38,15,0,2,6,1,7,7,1,0,2421,4,20,18,11,14,264622,1415894,"control1_slice1_side1","ctr"
"9",60,18,5,13,6,11,21,14,14,62,42,12,3,2,37,2,10,11,1,1,4060,6,46,25,33,29,836812,3371172,"control1_slice1_side1","ctr"
"10",51,15,2,6,3,6,14,20,13,84,75,24,2,3,53,5,9,5,0,1,3074,7,34,26,28,19,803693,3805673,"control1_slice1_side1","ctr"
"11",25,17,8,5,1,3,7,1,9,35,16,11,0,2,15,3,0,24,3,1,1478,3,18,20,18,15,704806,2825371,"control1_slice1_side1","ctr"
"12",15,1,1,2,4,1,12,3,3,16,15,4,1,0,18,0,5,0,0,0,1480,2,19,3,3,2,136052,445094,"control1_slice1_side1","ctr"
