	cells	counts	avg_scaling
control1_slice1_side1	4832	3195726	661
control1_slice1_side2	3744	2265494	605
control1_slice2_side1	3264	2197156	673
control1_slice2_side2	3884	2593638	668
control1_slice3_side1	3656	2835978	776
control1_slice3_side2	4454	3096459	695
control2_slice1_side1	7577	5466903	722
control2_slice1_side2	3037	1927866	635
control2_slice2_side1	5573	4106991	737
control2_slice2_side2	3501	2089762	597
control2_slice3_side1	4066	2771016	681
KO1_slice1_side1	5201	3341635	643
KO1_slice1_side2	4745	4461893	940
KO1_slice2_side1	5584	4019968	720
KO2_slice1_side1	5311	3938899	742
KO2_slice1_side2	7587	5400549	712
KO2_slice2_side1	5456	3868311	709
KO2_slice2_side2	5713	4217726	738
KO2_slice3_side1	4530	3137585	693
